Display,X Pos,Y Pos,Start Time (secs),Pupil Diameter
1,803.9077,611.0349,483.0005,2.65848520211875
1,800.5073,614.8151,483.016496,2.57399142719805
1,805.1821,621.2361,483.040494,2.5505255907774
1,799.3939,627.179,483.05251,2.54210107959807
1,793.7651,632.9717,483.066507,2.51316512003541
1,787.0817,638.4855,483.082493,2.4373906198889
1,791.5744,640.9991,483.102506,2.41110776551068
1,784.3851,645.9565,483.11651,2.40953871980309
1,779.9105,645.5079,483.132525,2.35302373766899
1,766.4973,645.279,483.150497,2.35806638374925
1,763.6165,645.5727,483.164515,2.31167091988027
1,761.2297,645.6534,483.182516,2.31590308248997
1,758.9316,645.7538,483.196498,2.30267643928528
-1,NaN,NaN,483.2065,0
1,757.3607,645.6985,483.228531,2.47698230668902
-1,NaN,NaN,483.240502,0
-1,NaN,NaN,483.258501,0
-1,NaN,NaN,483.27455,0
1,749.9936,648.217,483.292537,2.4683338124305
1,737.1599,655.3518,483.314523,2.54277116619051
1,746.2991,654.4966,483.330538,2.56817345507443
1,748.6828,656.4561,483.346507,2.4790579918772
1,757.9521,655.5479,483.360548,2.48291692696512
1,761.6424,652.7971,483.378507,2.43282248266041
1,766.4514,651.9215,483.390509,2.41336436010897
-1,NaN,NaN,483.404527,0
-1,NaN,NaN,483.420542,0
-1,NaN,NaN,483.436541,0
-1,NaN,NaN,483.452516,0
-1,NaN,NaN,483.468516,0
1,774.074,649.6229,483.490514,2.3522072006017
1,779.1119,646.9761,483.506514,2.53495038487017
1,794.7243,638.2005,483.524569,3.29724047333002
1,811.9843,629.6113,483.536534,3.81418573670089
1,827.1211,627.4957,483.554517,3.91610153019428
-1,NaN,NaN,483.564529,0
-1,NaN,NaN,483.582519,0
1,843.414,624.8594,483.60252,4.22601401805878
1,854.9482,620.387,483.616521,2.70647369325161
-1,NaN,NaN,483.628534,0
1,875.9409,614.0939,483.650544,2.57397210225463
-1,NaN,NaN,483.664524,0
1,881.7782,609.5886,483.684541,2.41069379262626
-1,NaN,NaN,483.694526,0
1,882.7048,606.5994,483.716555,2.39775609225035
-1,NaN,NaN,483.72854,0
1,879.2639,604.5699,483.750538,2.39140097983181
-1,NaN,NaN,483.758527,0
1,873.6674,602.041,483.782558,2.34265089966357
1,864.1913,599.0533,483.796533,2.33265571296215
1,852.5369,597.6391,483.81453,2.30634864419699
1,844.3741,597.2104,483.830549,2.29848083108664
1,838.8186,598.0248,483.846548,2.21044151112437
1,830.3761,598.9437,483.860532,2.21621966920793
1,821.524,600.1521,483.878551,2.21120100468397
1,812.654,601.4064,483.894536,2.20484379678965
1,803.8829,602.3884,483.910536,2.22802045755088
1,798.9123,603.488,483.926561,2.21821386367083
1,798.6686,604.2031,483.94055,2.23775603808463
1,798.2982,604.9321,483.956539,2.25729146040976
1,797.7304,605.4884,483.976557,2.24330532364547
1,801.4049,605.7894,483.988539,2.2916398011148
1,800.9922,606.1526,484.008539,2.47481721453369
1,805.3386,606.6542,484.02656,2.90831527672708
1,807.756,609.218,484.040542,3.09786037541926
-1,NaN,NaN,484.050551,0
1,811.4011,611.4819,484.076562,2.88883689790964
1,816.5809,616.1291,484.090551,2.64226412400603
1,821.6381,620.4355,484.106547,2.56490893661976
-1,NaN,NaN,484.116546,0
1,826.034,625.1761,484.13856,2.50026257708669
-1,NaN,NaN,484.148559,0
1,826.4581,629.5536,484.172553,2.47247191146016
-1,NaN,NaN,484.18055,0
